created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-08-19 07:40:05 UTC,204460,481.6,3.0,21.11,982.53,59.31,21.00,45.05,4.64
2025-08-19 07:47:05 UTC,204461,500.3,3.1,21.27,982.49,58.96,21.18,45.20,4.67
2025-08-19 07:54:05 UTC,204462,502.7,8.6,21.55,982.44,57.28,21.40,45.35,4.77
2025-08-19 08:01:05 UTC,204463,500.4,10.5,21.91,982.45,56.11,21.70,45.93,4.84
2025-08-19 08:08:05 UTC,204464,503.1,9.3,22.11,982.39,55.21,21.89,46.01,4.83
2025-08-19 08:15:05 UTC,204465,487.4,8.0,22.33,982.36,54.06,22.08,46.24,4.83
2025-08-19 08:22:05 UTC,204466,486.1,6.0,22.52,982.32,53.53,22.26,46.28,4.82
2025-08-19 08:29:05 UTC,204467,488.7,5.6,22.61,982.23,53.87,22.46,46.51,4.83
2025-08-19 08:36:05 UTC,204468,489.5,6.1,22.77,982.20,53.61,22.66,47.01,4.87
2025-08-19 08:43:05 UTC,204469,503.8,6.2,22.88,982.17,53.22,22.77,47.01,4.88
2025-08-19 08:50:05 UTC,204470,513.9,5.0,23.01,982.08,53.58,22.89,47.24,4.89
2025-08-19 08:57:05 UTC,204471,557.8,5.9,23.07,982.02,54.16,23.01,47.54,4.93
2025-08-19 09:04:05 UTC,204472,568.0,8.0,23.09,981.99,54.67,23.06,47.43,4.99
2025-08-19 09:11:05 UTC,204473,568.8,8.9,23.19,982.01,55.24,23.13,47.47,5.04
2025-08-19 09:18:05 UTC,204474,595.4,10.3,23.31,982.02,55.24,23.19,47.66,5.09
2025-08-19 09:25:05 UTC,204475,596.4,12.7,23.40,981.99,54.81,23.29,47.74,5.13
2025-08-19 09:32:05 UTC,204476,607.6,12.9,23.49,981.90,55.22,23.37,47.81,5.16
2025-08-19 09:39:05 UTC,204477,624.3,13.3,23.57,981.86,55.91,23.41,47.74,5.21
2025-08-19 09:46:05 UTC,204478,610.8,15.3,23.62,981.81,55.47,23.46,47.89,5.24
2025-08-19 09:53:05 UTC,204479,575.6,17.0,23.67,981.70,55.04,23.52,47.97,5.26
2025-08-19 10:00:05 UTC,204480,565.4,19.4,23.72,981.69,54.45,23.57,47.89,5.29
2025-08-19 10:07:05 UTC,204481,576.6,21.3,23.74,981.61,54.07,23.63,48.04,5.31
2025-08-19 10:14:05 UTC,204482,610.6,22.6,23.77,981.51,54.38,23.67,48.24,5.34
2025-08-19 10:21:05 UTC,204483,635.1,30.9,23.83,981.48,55.03,23.72,48.04,5.50
2025-08-19 10:28:05 UTC,204484,652.0,33.5,23.89,981.44,56.02,23.75,48.20,5.58
2025-08-19 10:35:05 UTC,204485,677.4,38.0,23.95,981.42,55.73,23.79,48.24,5.64
2025-08-19 10:42:05 UTC,204486,709.7,40.0,24.01,981.36,56.49,23.82,48.35,5.71
2025-08-19 10:49:05 UTC,204487,753.8,38.3,24.05,981.31,59.77,23.89,48.00,5.78
2025-08-19 10:56:05 UTC,204488,801.1,41.1,24.12,981.23,60.13,23.92,48.31,5.86
2025-08-19 11:03:05 UTC,204489,791.1,52.1,24.17,981.22,57.37,23.96,48.35,5.92
2025-08-19 11:10:05 UTC,204490,812.2,56.7,24.21,981.11,57.49,24.02,48.31,6.00
2025-08-19 11:17:05 UTC,204491,841.6,60.5,24.26,981.05,57.59,24.09,48.50,6.06
2025-08-19 11:24:05 UTC,204492,862.2,62.7,24.34,981.00,59.12,24.12,48.43,6.14
2025-08-19 11:31:05 UTC,204493,870.9,70.4,24.40,981.01,58.77,24.17,48.39,6.23
2025-08-19 11:38:05 UTC,204494,862.6,74.3,24.47,980.99,59.38,24.21,48.43,6.31
2025-08-19 11:45:05 UTC,204495,842.3,79.6,24.53,980.93,59.74,24.25,48.50,6.39
2025-08-19 11:52:05 UTC,204496,842.5,85.3,24.60,980.83,59.46,24.29,48.93,6.46
2025-08-19 11:59:05 UTC,204497,846.2,93.7,24.65,980.76,59.54,24.33,48.93,6.56
2025-08-19 12:06:05 UTC,204498,861.6,101.4,24.69,980.69,59.77,24.38,48.81,6.65
2025-08-19 12:13:05 UTC,204499,914.4,110.4,24.72,980.57,59.75,24.40,48.66,6.74
2025-08-19 12:20:05 UTC,204500,919.7,115.5,24.76,980.49,60.29,24.42,48.89,6.82
2025-08-19 12:27:05 UTC,204501,925.6,126.3,24.81,980.43,60.12,24.45,48.85,6.91
2025-08-19 12:34:05 UTC,204502,935.8,134.0,24.87,980.33,60.27,24.51,48.73,7.00
2025-08-19 12:41:05 UTC,204503,922.3,140.8,24.89,980.29,60.30,24.53,48.70,7.06
2025-08-19 12:48:05 UTC,204504,950.7,149.3,24.94,980.22,60.18,24.56,48.93,7.14
2025-08-19 12:55:05 UTC,204505,961.7,168.6,25.00,980.16,60.63,24.59,48.43,7.31
2025-08-19 13:02:05 UTC,204506,975.3,184.1,25.02,980.07,60.46,24.62,47.85,7.42
2025-08-19 13:09:05 UTC,204507,949.0,196.7,25.01,979.98,60.43,24.62,47.54,7.50
2025-08-19 13:16:05 UTC,204508,922.0,209.0,25.03,979.97,60.37,24.63,47.31,7.58
2025-08-19 13:23:05 UTC,204509,925.4,222.1,25.05,979.92,60.34,24.65,47.58,7.69
2025-08-19 13:30:05 UTC,204510,930.2,234.0,25.08,979.86,60.27,24.69,47.58,7.77
2025-08-19 13:37:05 UTC,204511,906.7,247.6,25.11,979.82,60.23,24.69,47.74,7.85
2025-08-19 13:44:05 UTC,204512,914.0,258.1,25.13,979.82,60.30,24.72,47.43,7.92
2025-08-19 13:51:05 UTC,204513,880.7,271.3,25.16,979.76,60.31,24.74,47.47,8.00
2025-08-19 13:58:05 UTC,204514,904.3,273.1,25.22,979.69,60.93,24.77,48.31,8.05
2025-08-19 14:05:05 UTC,204515,900.0,285.9,25.23,979.65,60.98,24.80,48.62,8.13
2025-08-19 14:12:05 UTC,204516,929.3,290.8,25.31,979.57,61.08,24.83,48.54,8.19
2025-08-19 14:19:05 UTC,204517,944.7,299.6,25.35,979.50,61.16,24.86,48.50,8.25
2025-08-19 14:26:05 UTC,204518,928.3,308.4,25.36,979.46,61.24,24.90,48.48,8.30
2025-08-19 14:33:05 UTC,204519,925.9,320.3,25.39,979.38,61.00,24.94,48.50,8.36
2025-08-19 14:40:05 UTC,204520,935.3,325.2,25.42,979.30,60.92,24.95,48.58,8.40
2025-08-19 14:47:05 UTC,204521,951.7,334.7,25.43,979.21,61.37,24.94,48.58,8.47
2025-08-19 14:54:05 UTC,204522,955.2,348.3,25.43,979.11,61.44,24.94,48.62,8.54
2025-08-19 15:01:05 UTC,204523,956.6,356.2,25.44,979.04,61.40,24.97,48.58,8.58
2025-08-19 15:08:05 UTC,204524,959.6,365.9,25.48,978.95,61.30,25.00,48.58,8.63
2025-08-19 15:15:05 UTC,204525,974.5,375.9,25.55,978.86,60.78,25.05,48.81,8.68
2025-08-19 15:22:05 UTC,204526,980.6,384.3,25.60,978.80,60.78,25.07,48.81,8.73
2025-08-19 15:29:05 UTC,204527,982.0,391.4,25.62,978.74,61.01,25.10,48.85,8.77
2025-08-19 15:36:05 UTC,204528,985.5,402.6,25.66,978.70,60.84,25.12,48.77,8.83
2025-08-19 15:43:05 UTC,204529,990.0,412.1,25.69,978.65,60.75,25.18,48.70,8.88
2025-08-19 15:50:05 UTC,204530,1005.4,425.7,25.75,978.62,60.22,25.22,49.00,8.93
2025-08-19 15:57:05 UTC,204531,1003.0,429.1,25.79,978.60,60.28,25.26,48.89,8.96
2025-08-19 16:04:05 UTC,204532,1026.0,438.1,25.85,978.57,60.03,25.31,49.12,9.01
2025-08-19 16:11:05 UTC,204533,1021.9,448.7,25.86,978.49,60.03,25.36,49.08,9.07
2025-08-19 16:18:05 UTC,204534,1045.9,456.4,25.93,978.44,59.69,25.39,49.23,9.11
2025-08-19 16:25:05 UTC,204535,1034.5,465.4,25.96,978.45,59.61,25.44,48.93,9.16
2025-08-19 16:32:05 UTC,204536,1052.6,473.0,26.02,978.51,59.39,25.47,49.16,9.19
2025-08-19 16:39:05 UTC,204537,1086.3,481.6,26.09,978.48,59.21,25.53,49.39,9.25
2025-08-19 16:46:05 UTC,204538,1085.7,505.1,26.05,978.45,59.46,25.54,49.20,9.33
2025-08-19 16:53:05 UTC,204539,1080.5,517.0,26.04,978.42,59.64,25.56,49.31,9.38
2025-08-19 17:00:05 UTC,204540,1105.3,520.2,26.10,978.40,59.54,25.59,49.39,9.41
2025-08-19 17:07:05 UTC,204541,1130.0,538.1,26.16,978.37,59.24,25.61,49.35,9.48
2025-08-19 17:14:05 UTC,204542,1120.2,546.3,26.14,978.38,59.40,25.66,49.27,9.51
2025-08-19 17:21:05 UTC,204543,1133.6,551.0,26.16,978.34,59.39,25.68,49.35,9.54
2025-08-19 17:28:05 UTC,204544,1147.2,571.1,26.19,978.36,59.28,25.68,49.20,9.62
2025-08-19 17:35:05 UTC,204545,1154.5,605.4,26.21,978.38,59.25,25.72,49.35,9.74
2025-08-19 17:42:05 UTC,204546,1181.0,624.7,26.28,978.36,59.35,25.75,49.39,9.84
2025-08-19 17:49:05 UTC,204547,1182.6,642.6,26.30,978.37,59.17,25.79,49.46,9.90
2025-08-19 17:56:05 UTC,204548,1186.3,652.7,26.32,978.42,59.17,25.81,49.43,9.94
2025-08-19 18:03:05 UTC,204549,1190.0,672.4,26.31,978.44,59.22,25.82,49.50,10.01
2025-08-19 18:10:05 UTC,204550,1202.2,687.8,26.31,978.48,59.20,25.81,49.54,10.05
2025-08-19 18:17:05 UTC,204551,1217.9,700.0,26.35,978.56,58.99,25.85,49.43,10.09
2025-08-19 18:24:05 UTC,204552,1229.3,705.3,26.37,978.61,58.96,25.88,49.43,10.12
2025-08-19 18:31:05 UTC,204553,1230.3,720.3,26.37,978.66,58.92,25.88,49.39,10.15
2025-08-19 18:38:05 UTC,204554,1229.3,729.3,26.38,978.70,58.90,25.87,49.46,10.18
2025-08-19 18:45:05 UTC,204555,1066.6,838.4,26.30,978.72,53.99,25.77,49.46,10.19
2025-08-19 18:52:05 UTC,204556,620.4,884.6,26.11,978.76,46.54,25.63,49.54,9.79
2025-08-19 18:59:05 UTC,204557,522.4,821.0,26.00,978.82,45.62,25.51,49.27,9.56
2025-08-19 19:06:05 UTC,204558,462.3,779.0,25.81,978.91,45.22,25.27,48.58,9.35
2025-08-19 19:13:05 UTC,204559,475.9,714.4,25.76,978.95,45.03,25.23,48.58,9.14
