created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-08-19 15:33:00 UTC,251199,,,,0.62,,-22014.56,,-0.57
2025-08-19 15:33:30 UTC,251200,-66.48,,-53.16,,-0.73,,-12.93,
2025-08-19 15:49:00 UTC,251201,,,,0.32,,-22014.86,,-0.30
2025-08-19 15:49:30 UTC,251202,-65.40,,-59.93,,0.40,,-11.81,
2025-08-19 16:04:45 UTC,251203,,,,-2.11,,-22017.29,,-0.52
2025-08-19 16:05:30 UTC,251204,-64.37,,-66.92,,1.25,,-10.96,
2025-08-19 16:21:00 UTC,251205,,,,-2.04,,-22017.22,,-0.48
2025-08-19 16:21:30 UTC,251206,-63.70,,-74.80,,0.98,,-11.23,
2025-08-19 16:37:00 UTC,251207,,,,3.83,,-22011.35,,0.13
2025-08-19 16:37:30 UTC,251208,-59.45,,-36.16,,1.93,,-10.28,
2025-08-19 16:53:00 UTC,251209,,,,-1.64,,-22016.82,,-0.01
2025-08-19 16:53:30 UTC,251210,-55.41,,-43.78,,3.24,,-8.96,
2025-08-19 17:09:00 UTC,251211,,,,-4.43,,-22019.61,,-0.49
2025-08-19 17:09:30 UTC,251212,-51.20,,-50.07,,4.33,,-3.81,
2025-08-19 17:25:00 UTC,251213,,,,-5.01,,-22020.19,,-0.75
2025-08-19 17:25:30 UTC,251214,-46.20,,-54.79,,4.58,,-3.56,
2025-08-19 17:41:00 UTC,251215,,,,-5.91,,-22021.09,,-0.95
2025-08-19 17:41:30 UTC,251216,-44.12,-1.38,-27.83,,4.05,,-4.09,
2025-08-19 17:56:45 UTC,251217,,,,-2.36,,-22018.93,,-1.04
2025-08-19 17:57:30 UTC,251218,-40.59,,-29.68,,3.54,,-4.60,
2025-08-19 18:12:44 UTC,251219,,,,-8.08,,-22024.64,,-1.70
2025-08-19 18:13:30 UTC,251220,-35.60,-2.09,-30.12,,3.68,,-4.46,
2025-08-19 18:28:44 UTC,251221,,,,-5.98,,-22024.63,,-1.20
2025-08-19 18:29:30 UTC,251222,-29.33,-1.44,-29.69,,5.14,,1.07,
2025-08-19 18:44:44 UTC,251223,,,,-6.64,,-22026.73,,-1.26
2025-08-19 18:45:30 UTC,251224,-25.64,-1.69,-13.08,,5.33,,1.26,
2025-08-19 19:01:00 UTC,251225,,,,-7.32,,-22029.10,,-1.63
2025-08-19 19:01:30 UTC,251226,-21.04,-1.89,-11.26,,4.94,,0.87,
